Time (s): 0
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00142
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00143
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00144
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00145
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00146
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00147
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00148
954	pip2: 1. 
461	trans: 1. 
454	ap2: 1. 
39	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00149
954	pip2: 1. 
460	trans: 1. 
454	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.0015
954	pip2: 1. 
460	trans: 1. 
454	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00151
954	pip2: 1. 
460	trans: 1. 
454	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00152
954	pip2: 1. 
460	trans: 1. 
454	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
6	pip2: 1. ap2: 1. 
Time (s): 0.00153
953	pip2: 1. 
460	trans: 1. 
453	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00154
953	pip2: 1. 
460	trans: 1. 
453	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
7	pip2: 1. ap2: 1. 
Time (s): 0.00155
951	pip2: 1. 
460	trans: 1. 
451	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00156
951	pip2: 1. 
460	trans: 1. 
451	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00157
951	pip2: 1. 
460	trans: 1. 
451	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00158
950	pip2: 1. 
460	trans: 1. 
450	ap2: 1. 
40	pip2: 1. ap2: 1. trans: 1. 
10	pip2: 1. ap2: 1. 
Time (s): 0.00159
950	pip2: 1. 
459	trans: 1. 
450	ap2: 1. 
41	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.0016
950	pip2: 1. 
459	trans: 1. 
450	ap2: 1. 
41	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00161
950	pip2: 1. 
459	trans: 1. 
450	ap2: 1. 
41	pip2: 1. ap2: 1. trans: 1. 
9	pip2: 1. ap2: 1. 
Time (s): 0.00162
950	pip2: 1. 
459	trans: 1. 
450	ap2: 1. 
